Country,Amount (USD),Transaction Type,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Person Involved
South Africa,508940.15,Cash Withdrawal,Finance,USA,0,0,High,9,6832
South Africa,1504511.73,Property Purchase,Real Estate,UK,1,1,High,0,7944
Brazil,1599119.62,Stocks Transfer,Luxury Goods,India,0,1,High,3,5592
Russia,2955276.66,Cryptocurrency,Construction,Switzerland,0,1,Low,4,4002
Russia,89686.78,Offshore Transfer,Luxury Goods,UAE,0,0,Low,9,2804
Singapore,1158912.91,Offshore Transfer,Casinos,UK,1,0,Low,9,6268
Brazil,4719434.35,Offshore Transfer,Construction,UAE,0,0,High,8,6034
South Africa,2744754.18,Cryptocurrency,Real Estate,Brazil,0,1,Low,2,942
Russia,3347861.61,Cash Withdrawal,Real Estate,China,0,0,Low,1,7607
USA,3382981.33,Property Purchase,Arms Trade,Singapore,0,1,Low,8,9086
USA,3384056.06,Property Purchase,Arms Trade,USA,0,0,Low,4,2113
USA,1474615.46,Cash Withdrawal,Arms Trade,Russia,0,1,Low,9,8582
China,4994256.04,Offshore Transfer,Construction,Brazil,0,1,High,1,4931
Russia,4761054.46,Property Purchase,Construction,India,1,1,Low,5,5630
UK,1934070.34,Cash Withdrawal,Finance,USA,1,0,Low,7,7713
UAE,1661557.03,Property Purchase,Finance,UAE,0,1,Low,7,336
USA,3446809.05,Stocks Transfer,Luxury Goods,Brazil,0,0,High,8,2737
UAE,256003.42,Stocks Transfer,Real Estate,UAE,0,1,High,1,4536
USA,1101278.16,Offshore Transfer,Real Estate,India,0,0,High,9,1948
India,392695.33,Stocks Transfer,Oil & Gas,USA,0,0,High,6,8021
Singapore,332121.75,Cryptocurrency,Luxury Goods,India,1,1,High,6,5061
China,1177850.69,Cash Withdrawal,Oil & Gas,UAE,1,1,Low,6,8879
China,3258740.97,Property Purchase,Oil & Gas,Switzerland,0,0,High,4,6005
USA,1223045.64,Property Purchase,Construction,Switzerland,0,0,Low,4,4325
Russia,4905965.75,Offshore Transfer,Casinos,UK,1,1,Low,1,3577
South Africa,3330745.55,Cash Withdrawal,Construction,Switzerland,0,0,Low,7,4170
Russia,2597682.99,Cryptocurrency,Finance,China,0,0,Low,6,6604
UK,4033319.66,Cryptocurrency,Construction,USA,0,1,Low,9,4310
China,4345112.29,Stocks Transfer,Construction,Brazil,0,0,Low,1,6101
UK,1024643.02,Cryptocurrency,Finance,UAE,1,1,Low,5,4807
UK,1379353.49,Property Purchase,Real Estate,Singapore,0,0,High,4,8573
UK,302776.43,Cash Withdrawal,Construction,Brazil,0,0,Low,5,7282
Russia,547846.57,Cash Withdrawal,Arms Trade,UK,0,0,High,1,1115
UK,4839982.72,Offshore Transfer,Construction,Switzerland,0,0,Low,0,8648
UAE,3522956.76,Property Purchase,Real Estate,South Africa,1,0,High,9,6814
UK,805278.07,Cryptocurrency,Luxury Goods,Switzerland,0,0,High,7,360
USA,1087424.55,Offshore Transfer,Finance,USA,0,0,Low,8,2523
Switzerland,1413529.5,Cash Withdrawal,Oil & Gas,Russia,1,1,High,3,1790
USA,287979.92,Property Purchase,Finance,USA,0,0,Low,0,568
Russia,499633.6,Cash Withdrawal,Casinos,UAE,1,0,Low,3,858
China,4851664.43,Stocks Transfer,Construction,USA,1,0,Low,4,8933
China,2839621.7,Property Purchase,Casinos,UAE,0,0,High,6,997
India,2552542.82,Cryptocurrency,Oil & Gas,USA,1,1,High,3,4471
India,3208128.71,Property Purchase,Oil & Gas,USA,0,0,High,3,4064
UK,2412380.97,Property Purchase,Casinos,Switzerland,0,0,High,0,2472
India,3753750.53,Cryptocurrency,Construction,Singapore,1,1,High,0,4386
South Africa,3051792.73,Stocks Transfer,Oil & Gas,Singapore,0,0,High,0,9875
Singapore,282273.28,Cryptocurrency,Oil & Gas,Brazil,0,1,High,3,6251
Singapore,4304401.22,Property Purchase,Oil & Gas,South Africa,0,0,Low,9,6944
Singapore,360268.94,Cash Withdrawal,Construction,China,0,0,Low,9,3635
China,2242260.82,Property Purchase,Construction,India,1,1,High,4,7920
UAE,4263851.92,Cash Withdrawal,Casinos,South Africa,1,1,Low,1,3260
Russia,1298226.24,Stocks Transfer,Oil & Gas,UK,0,1,Low,4,1859
China,818951.04,Offshore Transfer,Oil & Gas,UAE,1,0,Low,7,1040
UK,1770242.77,Cash Withdrawal,Real Estate,Switzerland,1,1,Low,0,5400
USA,515072.72,Cash Withdrawal,Oil & Gas,South Africa,0,0,Low,4,8395
Brazil,943365.81,Offshore Transfer,Arms Trade,Russia,0,1,High,8,9754
UK,544667.51,Stocks Transfer,Finance,UAE,1,0,High,4,6479
UAE,1528147.86,Property Purchase,Luxury Goods,Switzerland,0,0,Low,6,2156
Brazil,3800399.69,Cryptocurrency,Finance,Switzerland,1,1,Low,8,8891
UAE,3678202.84,Cash Withdrawal,Luxury Goods,India,0,1,Low,5,9612
Brazil,778015.61,Offshore Transfer,Finance,UAE,1,0,Low,9,4189
India,2589191.97,Offshore Transfer,Finance,Singapore,0,0,High,0,6347
UK,644837.17,Property Purchase,Oil & Gas,USA,0,1,Low,6,2491
Russia,20958.89,Offshore Transfer,Casinos,USA,0,0,Low,6,708
South Africa,1510883.7,Offshore Transfer,Real Estate,Singapore,0,0,High,6,8389
Singapore,548233.34,Property Purchase,Finance,India,0,0,Low,0,6749
UK,1944555.38,Cryptocurrency,Real Estate,Russia,0,0,High,9,99
India,3737880.92,Cash Withdrawal,Oil & Gas,Switzerland,0,0,High,8,2363
Russia,2019125.31,Property Purchase,Luxury Goods,India,1,0,Low,9,855
China,3453862.15,Stocks Transfer,Finance,Singapore,0,0,High,2,812
South Africa,520849.79,Property Purchase,Casinos,Brazil,0,0,High,9,5340
Russia,2648590.22,Cryptocurrency,Oil & Gas,Brazil,0,0,High,7,5504
USA,2611686.87,Offshore Transfer,Finance,Singapore,0,0,Low,6,998
Russia,3782053.68,Cash Withdrawal,Casinos,South Africa,0,0,Low,6,6138
Singapore,420430.91,Offshore Transfer,Oil & Gas,Switzerland,0,0,High,8,7985
China,3603488.39,Cash Withdrawal,Real Estate,China,0,1,High,1,8862
Brazil,658458.26,Cash Withdrawal,Casinos,Brazil,0,0,High,5,7186
UAE,1873015.73,Offshore Transfer,Oil & Gas,South Africa,0,0,High,4,915
Singapore,1999682.58,Offshore Transfer,Construction,Switzerland,0,1,High,5,3723
India,2199160.59,Stocks Transfer,Finance,China,0,0,Low,4,2862
Russia,4108438.24,Stocks Transfer,Casinos,China,0,1,High,8,6068
USA,440026.02,Stocks Transfer,Finance,South Africa,0,0,Low,1,9603
China,4063461.37,Stocks Transfer,Casinos,South Africa,0,0,High,1,8632
Russia,4644222.68,Stocks Transfer,Finance,Switzerland,1,0,High,9,9630
South Africa,4631374.61,Offshore Transfer,Real Estate,USA,0,0,High,0,4287
Russia,3811667.26,Property Purchase,Luxury Goods,Singapore,0,0,Low,0,9981
India,1650307,Cash Withdrawal,Casinos,USA,0,1,Low,2,9405
Switzerland,3112712.96,Offshore Transfer,Construction,India,0,0,High,1,5557
India,3257800.77,Cryptocurrency,Real Estate,South Africa,0,0,High,5,2141
South Africa,1234212.48,Stocks Transfer,Construction,UK,0,0,Low,2,365
India,2112507.16,Cash Withdrawal,Arms Trade,India,0,0,Low,7,8771
China,4718969.87,Property Purchase,Arms Trade,Switzerland,0,1,Low,5,9205
India,4848125.5,Cash Withdrawal,Construction,UK,0,0,Low,8,6470
India,4127973.66,Cash Withdrawal,Construction,Brazil,1,0,High,3,8150
UK,4485241.18,Stocks Transfer,Real Estate,Singapore,0,1,Low,5,2004
Brazil,2173880.27,Property Purchase,Casinos,Brazil,0,1,Low,9,6028
Singapore,846904.92,Stocks Transfer,Construction,Singapore,0,0,Low,8,3945
China,1817090.29,Property Purchase,Finance,Singapore,0,0,Low,8,2255
Singapore,2853187.78,Stocks Transfer,Arms Trade,China,0,1,Low,1,8860
Brazil,2404595.92,Property Purchase,Finance,South Africa,0,1,Low,4,1637
South Africa,737250.24,Cash Withdrawal,Arms Trade,UAE,0,1,High,9,7085
UAE,4542420.76,Offshore Transfer,Finance,Brazil,0,0,Low,4,8628
Singapore,3270433.88,Stocks Transfer,Oil & Gas,USA,0,1,High,4,9596
Singapore,3094972.1,Cryptocurrency,Casinos,China,0,0,High,5,8287
UAE,4361809.64,Property Purchase,Arms Trade,USA,1,0,High,5,8240
Russia,2536316.45,Stocks Transfer,Casinos,USA,0,1,Low,4,6830
USA,732844.75,Stocks Transfer,Casinos,Russia,0,0,High,1,6789
Switzerland,1570125.69,Offshore Transfer,Construction,Russia,0,0,High,4,879
UK,4667308.63,Stocks Transfer,Real Estate,Brazil,0,0,Low,6,6395
Russia,3122403.68,Offshore Transfer,Oil & Gas,UAE,0,0,High,3,1938
India,4549164.13,Offshore Transfer,Finance,Russia,1,0,High,2,9183
China,3489841.99,Property Purchase,Construction,USA,1,0,High,9,7978
China,3660403.77,Stocks Transfer,Oil & Gas,UAE,0,0,High,1,3004
UAE,1882612.15,Property Purchase,Oil & Gas,USA,0,0,Low,3,5890
Russia,2590748.23,Property Purchase,Luxury Goods,UK,0,0,High,5,1956
South Africa,1544310.04,Stocks Transfer,Luxury Goods,Russia,0,1,High,4,9299
UK,624296.65,Stocks Transfer,Luxury Goods,Singapore,0,1,High,9,3971
Brazil,3736253.11,Property Purchase,Real Estate,Russia,0,0,Low,8,5489
Brazil,4761344.41,Cryptocurrency,Real Estate,Switzerland,1,0,High,6,6991
UK,2290999.87,Cash Withdrawal,Oil & Gas,India,0,1,Low,1,8715
Russia,3277571.87,Stocks Transfer,Oil & Gas,Brazil,1,0,High,4,6663
Russia,3879107.72,Stocks Transfer,Oil & Gas,China,0,0,High,8,758
USA,4228515.31,Cash Withdrawal,Luxury Goods,Russia,0,1,High,6,8419
Switzerland,580057.32,Stocks Transfer,Oil & Gas,USA,0,0,Low,6,1502
UAE,724718.09,Offshore Transfer,Finance,China,0,1,Low,5,5630
China,2627507.71,Property Purchase,Arms Trade,South Africa,0,0,High,3,7537
India,2767619.96,Cryptocurrency,Casinos,India,0,0,Low,0,3667
USA,4143546.96,Cash Withdrawal,Arms Trade,Switzerland,0,1,Low,3,6333
USA,3952132.06,Cryptocurrency,Casinos,India,0,0,High,2,3820
South Africa,4566604.38,Cash Withdrawal,Finance,UK,0,0,High,8,9618
India,2840832.91,Cryptocurrency,Arms Trade,Brazil,0,0,Low,5,8240
China,3306582.98,Cryptocurrency,Arms Trade,Brazil,0,1,High,3,4715
Singapore,4628419.59,Property Purchase,Construction,South Africa,0,1,High,9,2524
Russia,1197476.39,Cash Withdrawal,Luxury Goods,Singapore,1,0,Low,5,8328
USA,990838.44,Cryptocurrency,Finance,China,0,1,High,7,5468
South Africa,3051716.5,Offshore Transfer,Real Estate,UK,1,1,Low,0,3329
Switzerland,815203.03,Stocks Transfer,Construction,Switzerland,0,0,Low,9,6839
Singapore,3858768.39,Cash Withdrawal,Construction,Russia,1,0,Low,4,1310
Russia,1920465.56,Property Purchase,Arms Trade,South Africa,1,0,High,8,4008
USA,243766.11,Stocks Transfer,Casinos,UAE,0,0,High,2,4802
Singapore,1018042.55,Property Purchase,Construction,Russia,0,0,High,1,7666
UK,4143398.91,Stocks Transfer,Real Estate,China,0,0,High,7,4883
UAE,930630.3,Offshore Transfer,Casinos,Switzerland,1,1,Low,8,3431
South Africa,1118984.03,Cryptocurrency,Casinos,UAE,0,0,High,2,8370
South Africa,4012461.56,Cash Withdrawal,Construction,Switzerland,0,0,High,6,9256
China,3161220.51,Stocks Transfer,Casinos,USA,0,0,High,3,5980
Singapore,3606561.76,Cash Withdrawal,Casinos,UAE,0,1,Low,0,3142
Switzerland,4626966.9,Cryptocurrency,Construction,India,0,0,High,8,3637
China,3840133.85,Cash Withdrawal,Casinos,Switzerland,0,0,High,8,3534
Singapore,1612514.5,Offshore Transfer,Luxury Goods,South Africa,0,0,High,7,820
UAE,35975.04,Property Purchase,Real Estate,India,0,1,High,7,8915
Singapore,2679518.23,Stocks Transfer,Luxury Goods,India,0,0,High,0,2377
Singapore,3572240.19,Property Purchase,Real Estate,South Africa,1,0,Low,5,8658
South Africa,4235730.64,Property Purchase,Arms Trade,China,0,1,High,6,6552
Russia,2159597.33,Offshore Transfer,Real Estate,Singapore,0,0,High,7,9203
Brazil,282015.35,Property Purchase,Arms Trade,UAE,0,0,High,0,5201
Switzerland,102018.02,Offshore Transfer,Construction,Singapore,0,0,High,3,7902
USA,1318765.41,Offshore Transfer,Oil & Gas,USA,0,1,Low,8,8899
South Africa,2444470.07,Cryptocurrency,Finance,Russia,0,0,High,8,2591
UAE,4001591.23,Cash Withdrawal,Arms Trade,China,0,0,High,3,7360
UK,494334.61,Stocks Transfer,Casinos,South Africa,0,0,Low,5,3264
Switzerland,1648795.81,Stocks Transfer,Arms Trade,UK,0,0,Low,4,6274
Russia,4709936.13,Stocks Transfer,Casinos,USA,0,0,High,6,3563
UAE,733005.15,Cash Withdrawal,Finance,UK,1,0,Low,1,9065
South Africa,1873086.67,Offshore Transfer,Luxury Goods,Russia,1,1,High,1,1748
China,1371118.76,Property Purchase,Oil & Gas,Singapore,0,1,Low,7,7133
USA,2344372.28,Stocks Transfer,Real Estate,UK,0,1,Low,0,8754
India,4684957.03,Stocks Transfer,Real Estate,South Africa,0,0,Low,9,1534
UAE,3980441.8,Cash Withdrawal,Luxury Goods,Switzerland,0,1,High,0,6065
UK,1679210.95,Offshore Transfer,Luxury Goods,China,0,1,High,4,2528
Brazil,1666422.06,Property Purchase,Oil & Gas,South Africa,0,1,Low,5,1248
USA,4032370.07,Cash Withdrawal,Finance,USA,0,0,High,2,9261
South Africa,1058244.83,Property Purchase,Finance,India,0,1,High,4,1391
Russia,4227458.27,Cryptocurrency,Finance,Singapore,0,0,Low,5,5634
UAE,4343895.29,Offshore Transfer,Arms Trade,India,1,0,Low,5,7563
UAE,1122942.81,Cash Withdrawal,Casinos,China,0,0,Low,7,1322
South Africa,1221917.7,Property Purchase,Casinos,UAE,0,0,High,2,7431
UAE,371069.25,Offshore Transfer,Arms Trade,Singapore,1,0,Low,1,1523
Brazil,2171649.56,Stocks Transfer,Oil & Gas,USA,0,0,Low,4,8843
Russia,4318110.08,Cash Withdrawal,Construction,Brazil,0,0,High,2,3048
UAE,2546649.08,Cryptocurrency,Casinos,UK,1,0,Low,1,5774
UK,933411.95,Property Purchase,Finance,Brazil,1,0,Low,4,9902
Singapore,2189924.41,Cryptocurrency,Oil & Gas,UAE,0,0,Low,4,8477
UAE,3794223.63,Stocks Transfer,Real Estate,UK,1,1,High,3,3903
China,171086.59,Cryptocurrency,Casinos,India,0,1,Low,7,1583
Brazil,1537277.51,Offshore Transfer,Finance,China,1,1,High,8,2659
China,3740315.14,Stocks Transfer,Construction,China,1,0,Low,9,1175
Russia,4651122.55,Stocks Transfer,Oil & Gas,UK,0,0,Low,2,3726
Brazil,4004053.64,Stocks Transfer,Luxury Goods,Switzerland,0,0,Low,1,3361
India,2166527.26,Cash Withdrawal,Finance,India,0,1,Low,5,7209
UK,1517697.08,Cryptocurrency,Finance,UK,0,0,Low,9,7554
UK,3813895.48,Stocks Transfer,Finance,UK,1,0,High,7,2280
Russia,265528.99,Property Purchase,Casinos,UAE,0,0,High,8,8420
Singapore,4677644.79,Cryptocurrency,Casinos,South Africa,0,0,High,8,4112
China,734465.06,Cryptocurrency,Arms Trade,Brazil,0,1,Low,0,7914
Singapore,2385900.67,Offshore Transfer,Finance,Switzerland,0,0,High,7,9064
Brazil,722410.16,Stocks Transfer,Construction,India,0,0,Low,6,6937
Brazil,1373731.64,Offshore Transfer,Casinos,Singapore,0,0,Low,4,6178
USA,2130888.77,Offshore Transfer,Casinos,USA,0,0,Low,7,118
India,4727578.49,Property Purchase,Oil & Gas,Russia,0,0,Low,4,8493
Brazil,563586.81,Offshore Transfer,Finance,India,0,0,High,8,6020
Switzerland,4688558.88,Cryptocurrency,Arms Trade,India,0,1,Low,7,8743
Brazil,14230.86,Stocks Transfer,Real Estate,UAE,0,1,High,6,1180
Switzerland,3142402.94,Offshore Transfer,Oil & Gas,Brazil,0,0,High,3,8953
South Africa,4103028.47,Property Purchase,Oil & Gas,China,1,0,High,0,8999
Switzerland,1572393.01,Offshore Transfer,Oil & Gas,China,0,1,Low,0,6965
USA,3444985.7,Stocks Transfer,Casinos,South Africa,0,0,Low,1,1365
China,119046.74,Cash Withdrawal,Luxury Goods,South Africa,0,1,Low,3,9177
Singapore,2009070.63,Cash Withdrawal,Construction,UAE,0,0,Low,5,8360
Switzerland,134100.52,Cryptocurrency,Arms Trade,Russia,0,0,High,6,4150
India,564515.39,Offshore Transfer,Finance,China,0,1,Low,9,3724
Switzerland,3784222.33,Property Purchase,Casinos,Russia,1,1,High,8,3630
Russia,3712612.68,Property Purchase,Casinos,Switzerland,0,0,High,7,1091
Singapore,4501675.06,Property Purchase,Oil & Gas,Switzerland,0,0,Low,8,4528
China,2098603.15,Property Purchase,Luxury Goods,Singapore,0,0,High,2,7288
UK,831072.34,Stocks Transfer,Arms Trade,South Africa,0,0,Low,6,6373
UAE,897814.31,Offshore Transfer,Construction,USA,0,0,High,3,8005
China,1415313.48,Stocks Transfer,Construction,UAE,1,1,High,7,6646
Brazil,3584470.13,Stocks Transfer,Oil & Gas,South Africa,0,0,Low,6,9650
UAE,1003320.46,Property Purchase,Finance,UAE,0,0,High,6,1830
Singapore,2129589.38,Cryptocurrency,Arms Trade,India,0,1,High,9,3160
Brazil,3356273.87,Cash Withdrawal,Arms Trade,UAE,0,1,High,3,5513
Switzerland,4400799.68,Offshore Transfer,Casinos,Brazil,0,1,High,6,19
UK,124852.98,Stocks Transfer,Luxury Goods,USA,0,0,Low,1,2221
India,3363775.59,Stocks Transfer,Oil & Gas,Singapore,0,0,High,4,8722
UAE,4562708.56,Offshore Transfer,Oil & Gas,UK,0,0,High,1,7658
Brazil,4543969.66,Cash Withdrawal,Luxury Goods,USA,1,0,High,8,6450
UK,2756732.9,Cash Withdrawal,Arms Trade,USA,0,1,High,6,6154
Switzerland,1222316.94,Property Purchase,Arms Trade,China,1,0,Low,6,9862
UAE,4234105.29,Cryptocurrency,Luxury Goods,UAE,0,0,Low,9,961
South Africa,3712104.02,Stocks Transfer,Construction,Switzerland,0,0,High,1,864
South Africa,956547.94,Property Purchase,Arms Trade,Singapore,0,1,High,5,6554
China,3416305.45,Cryptocurrency,Arms Trade,USA,0,1,Low,1,401
UK,1706040.81,Stocks Transfer,Finance,USA,0,0,Low,6,8221
South Africa,123408.61,Stocks Transfer,Luxury Goods,UAE,0,0,High,4,2919
UAE,2088201.75,Property Purchase,Finance,Switzerland,1,0,High,0,6442
USA,4907242.46,Stocks Transfer,Oil & Gas,UK,0,1,Low,2,3610
China,1141520.04,Stocks Transfer,Arms Trade,Switzerland,0,0,High,9,9528
USA,1885361.44,Property Purchase,Construction,China,0,1,Low,1,9494
South Africa,3486153.12,Cryptocurrency,Arms Trade,China,0,0,High,5,8689
Russia,3886374.54,Cryptocurrency,Oil & Gas,Brazil,0,1,Low,6,2187
Switzerland,2551869.82,Stocks Transfer,Arms Trade,Brazil,0,0,High,3,1554
Switzerland,4072395.06,Stocks Transfer,Construction,UAE,1,0,Low,0,7104
Singapore,2586056.02,Cash Withdrawal,Casinos,South Africa,0,0,Low,2,9430
USA,967768.85,Offshore Transfer,Finance,China,0,0,High,4,3411
Russia,1968554.22,Cash Withdrawal,Arms Trade,Russia,0,0,Low,4,1675
USA,1874347.21,Offshore Transfer,Luxury Goods,China,0,0,High,2,4073
South Africa,27717.44,Stocks Transfer,Oil & Gas,Russia,0,1,High,6,9338
UAE,2240347.7,Cryptocurrency,Real Estate,UK,1,1,High,6,2244
China,2626525.57,Cryptocurrency,Arms Trade,USA,0,1,Low,3,6813
UAE,4459676.21,Cash Withdrawal,Oil & Gas,South Africa,1,0,Low,6,2693
Switzerland,3779728.14,Cash Withdrawal,Real Estate,Russia,0,1,Low,3,2734
China,3029809.77,Cash Withdrawal,Finance,South Africa,0,0,Low,5,563
Russia,1207633.48,Cash Withdrawal,Real Estate,USA,0,1,Low,1,9092
South Africa,452956.44,Offshore Transfer,Real Estate,Brazil,0,0,Low,6,6951
USA,4921650.63,Cryptocurrency,Arms Trade,UK,0,0,Low,4,775
UK,3972986.07,Property Purchase,Oil & Gas,India,0,1,Low,0,4688
Russia,575528.47,Cash Withdrawal,Luxury Goods,UAE,0,0,Low,0,547
Switzerland,3039266.28,Cash Withdrawal,Real Estate,Singapore,0,0,Low,4,9316
Switzerland,4988896.84,Offshore Transfer,Arms Trade,Singapore,1,1,High,2,6926
Russia,236974.32,Offshore Transfer,Finance,South Africa,0,0,Low,7,6585
Brazil,949748.83,Offshore Transfer,Luxury Goods,India,0,1,Low,8,9897
Switzerland,2462751.29,Stocks Transfer,Oil & Gas,Singapore,0,1,Low,8,7502
UAE,956438.35,Offshore Transfer,Finance,USA,0,0,High,3,3836
UK,3479256.34,Cash Withdrawal,Casinos,Brazil,0,0,High,7,456
USA,280926.37,Offshore Transfer,Real Estate,Brazil,0,0,Low,9,3904
USA,1663914.79,Property Purchase,Arms Trade,Brazil,0,0,Low,6,6587
Brazil,2466243.48,Cryptocurrency,Arms Trade,China,0,0,High,7,7422
India,691613.51,Stocks Transfer,Construction,Singapore,1,1,High,5,5395
Brazil,3644731.97,Cash Withdrawal,Real Estate,Russia,0,0,High,7,1079
Brazil,2307358.8,Cash Withdrawal,Arms Trade,South Africa,0,0,Low,3,8524
Singapore,661402.95,Stocks Transfer,Real Estate,China,0,0,Low,2,4302
Russia,3550935.15,Property Purchase,Oil & Gas,USA,0,0,Low,6,4986
Switzerland,2074162.82,Property Purchase,Oil & Gas,UAE,0,0,High,7,6599
USA,2991492.41,Stocks Transfer,Casinos,China,0,0,High,0,5800
Singapore,575316.73,Offshore Transfer,Construction,Brazil,1,0,Low,3,9954
South Africa,3480232.16,Property Purchase,Luxury Goods,USA,1,0,High,5,2398
India,3793243.43,Cryptocurrency,Finance,USA,0,1,Low,3,2985
UAE,543658.04,Cash Withdrawal,Casinos,Switzerland,0,0,High,0,1387
Russia,80590.69,Offshore Transfer,Real Estate,Singapore,0,1,High,7,1957
China,4813004.02,Offshore Transfer,Real Estate,Russia,0,1,Low,0,6249
UAE,1616180.85,Offshore Transfer,Construction,China,1,0,Low,5,3038
USA,2498270.55,Cash Withdrawal,Arms Trade,Singapore,0,0,Low,0,1701
South Africa,2626561.71,Offshore Transfer,Casinos,UAE,0,0,Low,3,9747
UK,1672692.22,Cryptocurrency,Luxury Goods,Brazil,0,0,Low,3,463
India,1621706.64,Property Purchase,Luxury Goods,India,0,0,High,4,9407
South Africa,1459198.72,Cryptocurrency,Real Estate,Brazil,0,0,High,2,9441
UK,824570.47,Stocks Transfer,Casinos,UAE,0,0,High,1,9552
USA,1151381.69,Stocks Transfer,Finance,South Africa,0,1,High,1,2116
USA,2838303.99,Property Purchase,Finance,UAE,0,1,Low,4,3226
Switzerland,2381891.23,Stocks Transfer,Luxury Goods,Russia,0,0,Low,5,3519
USA,1626400.85,Property Purchase,Oil & Gas,UAE,0,1,High,2,5356
South Africa,4229649.95,Stocks Transfer,Luxury Goods,Switzerland,0,1,High,0,2424
South Africa,3758645.76,Cash Withdrawal,Construction,China,1,0,High,8,9714
UK,2579981.64,Cash Withdrawal,Real Estate,UK,0,0,Low,2,6304
Switzerland,3012931.18,Offshore Transfer,Casinos,South Africa,0,1,Low,1,8881
India,2339769.61,Cash Withdrawal,Casinos,USA,0,1,Low,2,552
UK,2937706.1,Offshore Transfer,Oil & Gas,China,0,1,Low,3,6365
UAE,1430739.63,Cryptocurrency,Casinos,Russia,0,0,Low,9,6521
China,1821463.81,Property Purchase,Construction,USA,0,0,High,0,1506
India,2504016.19,Cryptocurrency,Real Estate,Singapore,1,0,Low,9,8847
South Africa,2123724.1,Offshore Transfer,Arms Trade,USA,0,1,Low,4,8387
Brazil,3618267.59,Cash Withdrawal,Casinos,Russia,0,1,High,2,730
South Africa,3486253.62,Cash Withdrawal,Oil & Gas,India,0,0,Low,3,5511
Brazil,1419487.15,Stocks Transfer,Construction,China,0,0,Low,6,2778
Singapore,668430.69,Cash Withdrawal,Luxury Goods,South Africa,0,0,Low,7,3689
South Africa,635317.14,Stocks Transfer,Real Estate,UK,0,1,High,5,1264
USA,2868280.49,Cash Withdrawal,Luxury Goods,Brazil,1,1,Low,6,5372
South Africa,4672953.93,Cash Withdrawal,Finance,Russia,0,1,High,8,2459
Switzerland,3697760.54,Cash Withdrawal,Real Estate,Switzerland,0,1,High,9,4646
Switzerland,3391806.71,Cryptocurrency,Construction,India,0,1,High,5,6975
South Africa,1967820.55,Cash Withdrawal,Construction,Russia,0,0,Low,4,6874
Brazil,2521719.88,Cryptocurrency,Casinos,Russia,0,1,Low,5,4288
UK,3869144.61,Stocks Transfer,Finance,India,0,0,Low,1,7537
China,1030965.31,Property Purchase,Construction,USA,0,0,Low,4,185
Singapore,2646932.92,Cash Withdrawal,Arms Trade,UAE,0,0,High,3,6424
South Africa,4649967.25,Stocks Transfer,Casinos,Brazil,1,0,Low,3,4358
India,1571706.47,Stocks Transfer,Real Estate,India,0,0,High,5,1778
India,2701947.72,Cryptocurrency,Construction,China,0,0,Low,1,3107
Switzerland,525657.46,Cash Withdrawal,Casinos,UK,0,1,High,1,4354
Singapore,1085908.5,Offshore Transfer,Real Estate,UK,1,0,High,0,6070
Brazil,2123803.4,Offshore Transfer,Finance,South Africa,0,0,High,4,2395
UK,2698648.02,Cryptocurrency,Finance,Singapore,1,0,Low,7,7514
Brazil,3091862.59,Cryptocurrency,Oil & Gas,South Africa,1,1,Low,4,4289
UAE,1957702.7,Property Purchase,Real Estate,Brazil,0,1,Low,9,1658
Singapore,544337.25,Offshore Transfer,Luxury Goods,India,0,0,Low,3,6942
Russia,2567443.96,Stocks Transfer,Finance,Russia,0,0,Low,3,2072
Switzerland,2947693.07,Cryptocurrency,Real Estate,China,0,1,Low,4,9173
UAE,1942267.78,Cash Withdrawal,Finance,UK,0,1,High,0,6689
Russia,4706882.37,Property Purchase,Oil & Gas,China,0,0,Low,0,3327
Russia,376011.11,Stocks Transfer,Luxury Goods,China,1,0,Low,5,1074
Switzerland,4744978.51,Cash Withdrawal,Real Estate,Singapore,0,0,Low,2,4670
China,3543108.15,Cryptocurrency,Oil & Gas,Switzerland,0,0,High,8,2684
UK,4990263.21,Property Purchase,Casinos,Singapore,0,1,Low,9,5000
Singapore,4372146.66,Cash Withdrawal,Luxury Goods,UAE,0,0,Low,8,8724
India,78995.46,Stocks Transfer,Casinos,UAE,0,1,High,8,4758
Brazil,2201053.82,Cryptocurrency,Finance,USA,0,0,Low,0,6069
UAE,3594246.69,Cryptocurrency,Luxury Goods,Russia,0,0,Low,0,6829
Singapore,4712118.95,Cryptocurrency,Arms Trade,USA,0,0,High,3,9063
Russia,3318793.25,Stocks Transfer,Finance,South Africa,0,0,Low,3,1602
China,2204310.86,Cryptocurrency,Luxury Goods,UK,0,1,Low,7,94
Brazil,4056804.31,Stocks Transfer,Luxury Goods,USA,0,0,High,7,4524
Switzerland,1864202.17,Cash Withdrawal,Finance,Russia,0,0,High,8,4442
China,1669739.19,Offshore Transfer,Luxury Goods,Russia,0,0,Low,2,2933
China,3555282.92,Offshore Transfer,Luxury Goods,UAE,0,0,High,9,3464
UK,1695903.19,Property Purchase,Real Estate,Russia,1,0,High,2,9472
South Africa,1552406.41,Stocks Transfer,Finance,South Africa,0,0,High,5,3851
India,3889323.25,Stocks Transfer,Casinos,Brazil,0,0,High,8,4241
USA,2085442.24,Cash Withdrawal,Finance,UK,0,1,High,8,1617
